id,confirmedNum,deathsNum,curesNum,location
110101,28,0,0,东城区
110102,106,0,0,西城区
110105,144,0,0,朝阳区
110106,86,0,0,丰台区
110107,28,0,2,石景山区
110108,128,0,0,海淀区
110109,6,0,0,门头沟区
110111,32,0,0,房山区
110112,38,0,0,通州区
110113,20,0,0,顺义区
110114,58,0,2,昌平区
110115,78,0,32,大兴区
110116,14,0,0,怀柔区
110118,14,0,0,密云区
110119,2,0,0,延庆区
120101,12,0,12,和平区
120102,30,2,28,河东区
120103,8,0,8,河西区
120104,12,0,12,南开区
120105,24,0,24,河北区
120106,4,0,4,红桥区
120110,8,0,8,东丽区
120111,8,0,8,西青区
120112,4,0,4,津南区
120113,12,0,12,北辰区
120114,4,0,4,武清区
120115,120,4,116,宝坻区
120116,6,0,6,滨海新区
120117,8,0,8,宁河区
130302,2,0,0,海港区
130304,1,0,0,北戴河区
130306,2,0,0,抚宁区
130324,1,0,0,卢龙县
130703,2,0,2,桥西区
130705,12,0,12,宣化区
130723,14,0,14,康保县
130725,4,0,4,尚义县
130729,1,0,1,万全县
130733,1,0,1,崇礼县
140105,1,0,1,小店区
140106,6,0,6,迎泽区
140107,4,0,4,杏花岭区
140109,8,0,8,万柏林区
140121,1,0,1,清徐县
140202,2,0,2,城区
140203,10,0,10,矿区
140302,2,0,2,城区
140322,2,0,2,盂县
140411,7,0,7,郊区
140428,1,0,1,长子县
140502,5,0,5,城区
140521,2,0,2,沁水县
140522,1,0,1,阳城县
140524,1,0,1,陵川县
140525,1,0,1,泽州县
140602,4,0,4,朔城区
140622,3,0,3,应县
140624,1,0,1,怀仁县
140725,1,0,1,寿阳县
140728,36,0,36,平遥县
140802,3,0,3,盐湖区
140822,1,0,1,万荣县
140824,1,0,1,稷山县
140825,5,0,5,新绛县
140826,1,0,1,绛县
140828,1,0,1,夏县
140829,4,0,4,平陆县
140830,1,0,1,芮城县
140882,2,0,2,河津市
140902,1,0,1,忻府区
140922,6,0,6,五台县
141028,1,0,1,吉县
141029,1,0,1,乡宁县
141102,2,0,2,离石区
141121,1,0,1,文水县
141181,3,0,3,孝义市
150102,2,0,2,新城区
150103,1,0,1,回民区
150104,3,0,2,玉泉区
150105,1,0,1,赛罕区
150202,1,0,1,东河区
150203,3,0,3,昆都仑区
150221,7,0,7,土默特右旗
150302,2,0,2,海勃湾区
150402,1,0,1,红山区
150403,2,0,2,元宝山区
150404,2,0,2,松山区
150424,1,0,1,林西县
150426,3,0,3,翁牛特旗
150581,6,0,6,霍林郭勒市
150602,1,0,1,东胜区
150621,9,0,9,达拉特旗
150623,1,0,1,鄂托克前旗
150722,5,0,5,莫力达瓦达斡尔族自治旗
150781,1,0,1,满洲里市
150782,1,0,1,牙克石市
150802,2,1,1,临河区
150821,2,0,2,五原县
150824,4,0,4,乌拉特中旗
150922,2,0,2,化德县
150929,1,0,1,四子王旗
152201,1,0,1,乌兰浩特市
152501,1,0,1,二连浩特市
152502,4,0,4,锡林浩特市
152531,4,0,4,多伦县
210103,1,0,0,沈河区
210104,3,0,0,大东区
210105,2,0,0,皇姑区
210106,3,0,0,铁西区
210124,1,0,0,法库县
210321,3,0,3,台安县
210323,1,0,1,岫岩满族自治县
210604,1,0,0,振安区
210624,3,0,0,宽甸满族自治县
210681,1,0,0,东港市
210682,1,0,0,凤城市
210902,2,0,2,海州区
210911,2,0,2,细河区
210922,1,0,1,彰武县
211223,1,0,1,西丰县
211224,2,0,2,昌图县
211281,4,0,4,调兵山市
211402,6,1,5,连山区
211403,1,0,1,龙港区
211404,3,0,3,南票区
211481,2,0,2,兴城市
220102,8,0,8,南关区
220103,2,0,2,宽城区
220104,9,0,9,朝阳区
220105,8,0,8,二道区
220106,2,0,2,绿园区
220113,2,0,2,九台区
220202,1,0,1,昌邑区
220204,1,0,1,船营区
220211,2,0,2,丰满区
220282,1,0,1,桦甸市
220302,9,1,7,铁西区
220303,1,0,1,铁东区
220381,6,0,6,公主岭市
220382,5,0,3,双辽市
220402,6,0,6,龙山区
220422,1,0,1,东辽县
220502,3,0,3,东昌区
220581,1,0,1,梅河口市
220582,3,0,3,集安市
220723,2,0,2,乾安县
220821,1,0,1,镇赉县
222401,2,0,2,延吉市
222402,1,0,1,图们市
222405,1,0,1,龙井市
222406,1,0,1,和龙市
230102,31,0,0,道里区
230103,36,0,0,南岗区
230104,24,0,0,道外区
230109,2,0,0,松北区
230110,35,0,0,香坊区
230112,5,0,0,阿城区
230113,2,0,0,双城区
230124,8,0,0,方正县
